timestamp,player,tournament,surface,betfair_odds,our_prob,implied_prob,edge,ev,base_units,odds_category,odds_cap,edge_override,final_units,stake_tier,is_value,notes
2026-01-20T14:28:01.709022,Yannick Hanfmann,Men's Australian Open 2026,Hard,42.0,12.9,2.4,10.5,441.8,2,longshot,1,False,1.0,confident,True,capped_from_2_to_1.0;longshot_warning
2026-01-20T14:28:01.730089,Corentin Moutet,Men's Australian Open 2026,Hard,1.76,81.7,56.8,24.9,43.8,3,short,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:01.772903,Tomas Martin Etcheverry,Men's Australian Open 2026,Hard,1.73,75.0,57.8,17.2,29.8,3,short,3,False,3.0,strong,True,
2026-01-20T14:28:01.793824,Cameron Norrie,Men's Australian Open 2026,Hard,1.43,73.9,69.9,4.0,5.7,0,short,3,False,0.0,no_bet,True,
2026-01-20T14:28:01.814154,Damir Dzumhur,Men's Australian Open 2026,Hard,4.8,26.7,20.8,5.9,28.2,1,long,2,False,1.0,standard,True,longshot_warning
2026-01-20T14:28:01.835285,Francisco Comesana,Men's Australian Open 2026,Hard,3.35,33.8,29.9,3.9,13.2,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:01.855706,Kamil Majchrzak,Men's Australian Open 2026,Hard,2.46,44.2,40.7,3.5,8.7,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:01.876864,Talia Gibson,Ladies Australian Open 2026,Hard,5.7,21.6,17.5,4.1,23.1,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:28:01.897390,Linda Klimovicova,Ladies Australian Open 2026,Hard,8.4,15.2,11.9,3.3,27.7,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:28:01.918162,Thiago Agustin Tirante,Men's Australian Open 2026,Hard,9.0,15.6,11.1,4.5,40.4,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:28:01.939011,Anna Bondar,Ladies Australian Open 2026,Hard,2.34,60.3,42.7,17.6,41.1,3,medium,3,False,3.0,strong,True,
2026-01-20T14:28:01.979820,Zhuoxuan Bai,Ladies Australian Open 2026,Hard,50.0,12.8,2.0,10.8,540.0,2,longshot,1,False,1.0,confident,True,capped_from_2_to_1.0;longshot_warning
2026-01-20T14:28:02.000547,Quentin Halys,Men's Australian Open 2026,Hard,7.6,20.1,13.2,6.9,52.8,1,longshot,1,False,1.0,standard,True,longshot_warning
2026-01-20T14:28:02.022358,Victoria Mboko,Ladies Australian Open 2026,Hard,1.4,78.3,71.4,6.9,9.6,1,short,3,False,1.0,standard,True,
2026-01-20T14:28:02.043276,Alejandro Davidovich Fokina,Men's Australian Open 2026,Hard,1.47,77.0,68.0,9.0,13.2,1,short,3,False,1.0,standard,True,
2026-01-20T14:28:02.064175,Hailey Baptiste,Ladies Australian Open 2026,Hard,1.67,82.7,59.9,22.8,38.1,3,short,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:02.084656,Elsa Jacquemot,Ladies Australian Open 2026,Hard,3.15,61.1,31.7,29.4,92.5,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:02.105440,Anastasia Potapova,Ladies Australian Open 2026,Hard,3.05,34.9,32.8,2.1,6.4,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:02.126060,Clara Tauson,Ladies Australian Open 2026,Hard,1.5,87.0,66.7,20.3,30.5,3,short,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:02.147005,Olga Danilovic,Ladies Australian Open 2026,Hard,10.0,13.8,10.0,3.8,38.0,0,longshot,1,False,0.0,no_bet,True,longshot_warning
